売上日,商品名,単価,数量,店舗名
2026-08-01,オフィスチェア,12800,1,大阪支店
2026-08-01,ワイヤレスマウス,2980,4,大阪支店
2026-08-01,ワイヤレスマウス,2980,5,福岡支店
2026-08-01,オフィスチェア,12800,2,福岡支店
2026-08-01,オフィスチェア,12800,2,東京支店
2026-08-01,ワイヤレスマウス,2980,5,東京支店
2026-08-02,USB-Cハブ,4980,2,大阪支店
2026-08-02,USB-Cハブ,4980,3,福岡支店
2026-08-02,USB-Cハブ,4980,3,東京支店
2026-08-03,キーボード,6500,3,大阪支店
2026-08-03,ノートPCスタンド,4200,2,大阪支店
2026-08-03,ノートPCスタンド,4200,3,福岡支店
2026-08-03,キーボード,6500,2,福岡支店
2026-08-03,キーボード,6500,2,東京支店
2026-08-03,ノートPCスタンド,4200,4,東京支店
2026-08-04,Webカメラ,7800,2,福岡支店
2026-08-04,Webカメラ,7800,2,東京支店
2026-08-04,Webカメラ,7800,1,大阪支店
2026-08-05,ワイヤレスマウス,2980,6,東京支店
2026-08-05,ヘッドセット,5600,3,東京支店
2026-08-05,ヘッドセット,5600,2,大阪支店
2026-08-05,ワイヤレスマウス,2980,5,大阪支店
2026-08-05,ワイヤレスマウス,2980,6,福岡支店
2026-08-05,ヘッドセット,5600,3,福岡支店
2026-08-06,外付けSSD 1TB,14800,2,東京支店
2026-08-06,外付けSSD 1TB,14800,1,大阪支店
2026-08-06,外付けSSD 1TB,14800,1,福岡支店
2026-08-07,USB-C充電器,3980,5,東京支店
2026-08-07,HDMIケーブル,1800,8,東京支店
2026-08-07,USB-C充電器,3980,5,福岡支店
2026-08-07,HDMIケーブル,1800,7,福岡支店
2026-08-07,HDMIケーブル,1800,6,大阪支店
2026-08-07,USB-C充電器,3980,4,大阪支店
2026-08-08,オフィスチェア,12800,1,福岡支店
2026-08-08,オフィスチェア,12800,2,大阪支店
2026-08-08,オフィスチェア,12800,1,東京支店
2026-08-09,キーボード,6500,2,大阪支店
2026-08-09,キーボード,6500,3,東京支店
2026-08-09,キーボード,6500,3,福岡支店
2026-08-10,USB-Cハブ,4980,4,東京支店
2026-08-10,ノートPCスタンド,4200,2,福岡支店
2026-08-10,USB-Cハブ,4980,4,福岡支店
2026-08-10,USB-Cハブ,4980,3,大阪支店
2026-08-10,ノートPCスタンド,4200,2,東京支店
2026-08-10,ノートPCスタンド,4200,4,大阪支店
2026-08-11,Webカメラ,7800,2,大阪支店
2026-08-11,Webカメラ,7800,3,東京支店
2026-08-11,Webカメラ,7800,3,福岡支店
2026-08-12,ヘッドセット,5600,3,大阪支店
2026-08-12,ヘッドセット,5600,4,福岡支店
2026-08-12,ヘッドセット,5600,4,東京支店
2026-08-13,ワイヤレスマウス,2980,6,大阪支店
2026-08-13,ワイヤレスマウス,2980,7,福岡支店
2026-08-13,ワイヤレスマウス,2980,7,東京支店
2026-08-14,外付けSSD 1TB,14800,2,大阪支店
2026-08-14,外付けSSD 1TB,14800,1,東京支店
2026-08-14,外付けSSD 1TB,14800,2,福岡支店
2026-08-15,HDMIケーブル,1800,9,福岡支店
2026-08-15,USB-C充電器,3980,6,東京支店
2026-08-15,USB-C充電器,3980,6,福岡支店
2026-08-15,HDMIケーブル,1800,10,東京支店
2026-08-15,USB-C充電器,3980,5,大阪支店
2026-08-15,HDMIケーブル,1800,8,大阪支店
2026-08-16,ノートPCスタンド,4200,3,東京支店
2026-08-16,ノートPCスタンド,4200,4,福岡支店
2026-08-16,ノートPCスタンド,4200,3,大阪支店
2026-08-17,オフィスチェア,12800,1,大阪支店
2026-08-17,オフィスチェア,12800,2,東京支店
2026-08-17,オフィスチェア,12800,2,福岡支店
2026-08-18,USB-Cハブ,4980,5,福岡支店
2026-08-18,キーボード,6500,4,福岡支店
2026-08-18,USB-Cハブ,4980,4,大阪支店
2026-08-18,キーボード,6500,4,大阪支店
2026-08-18,USB-Cハブ,4980,5,東京支店
2026-08-18,キーボード,6500,4,東京支店
2026-08-19,Webカメラ,7800,2,東京支店
2026-08-19,Webカメラ,7800,2,福岡支店
2026-08-19,Webカメラ,7800,3,大阪支店
2026-08-20,ヘッドセット,5600,5,東京支店
2026-08-20,ヘッドセット,5600,4,大阪支店
2026-08-20,ヘッドセット,5600,5,福岡支店
