売上日,商品名,単価,数量
2026/08/01,オフィスチェア,12800,2
2026/08/01,ワイヤレスマウス,2980,5
2026/08/02,USB-Cハブ,4980,3
2026/08/03,キーボード,6500,2
2026/08/03,ノートPCスタンド,4200,4
2026/08/04,Webカメラ,7800,2
2026/08/05,ワイヤレスマウス,2980,6
2026/08/05,ヘッドセット,5600,3
2026/08/06,外付けSSD 1TB,14800,2
2026/08/07,USB-C充電器,3980,5
2026/08/07,HDMIケーブル,1800,8
2026/08/08,オフィスチェア,12800,1
2026/08/09,キーボード,6500,3
2026/08/10,USB-Cハブ,4980,4
2026/08/10,ノートPCスタンド,4200,2
2026/08/11,Webカメラ,7800,3
2026/08/12,ヘッドセット,5600,4
2026/08/13,ワイヤレスマウス,2980,7
2026/08/14,外付けSSD 1TB,14800,1
2026/08/15,USB-C充電器,3980,6
2026/08/15,HDMIケーブル,1800,10
2026/08/16,ノートPCスタンド,4200,3
2026/08/17,オフィスチェア,12800,2
2026/08/18,キーボード,6500,4
2026/08/18,USB-Cハブ,4980,5
2026/08/19,Webカメラ,7800,2
2026/08/20,ヘッドセット,5600,5
2026/08/21,ワイヤレスマウス,2980,8
2026/08/22,USB-C充電器,3980,4
2026/08/23,外付けSSD 1TB,14800,2
2026/08/24,HDMIケーブル,1800,7
2026/08/24,ノートPCスタンド,4200,5
2026/08/25,キーボード,6500,2
2026/08/26,USB-Cハブ,4980,3
2026/08/27,オフィスチェア,12800,1
2026/08/27,Webカメラ,7800,4
2026/08/28,ヘッドセット,5600,3
2026/08/29,ワイヤレスマウス,2980,6
2026/08/30,USB-C充電器,3980,5
2026/08/30,外付けSSD 1TB,14800,1
2026/08/31,HDMIケーブル,1800,9
2026/08/31,ノートPCスタンド,4200,4
